Konuşma,Kategori,Alt Kategori,Müşterinin İsteği (özet),Çözüldü mü?,Çözüm Yöntemi,Bot Yapabilir mi?,Neden / Ne Gerekir?
K137,BONUS_SORUN,Karşılama Bonusu Alınmadı,%120 hoşgeldin bonusu ve 50 free spin hesabına gelmedi,EVET,"Nakit bonus kredilendi, free spin ayrıca verileceği belirtildi",KISMI,Bonus doğrulaması bot yapabilir; kredilendirme insan gerektirir
K138,BONUS_TALEP,Genel Bonus Talebi,Bonus talep ediyor,KISMI,30€ bonus 20x wagering ile verildi,KISMI,Uygunluk kontrolü bot yapabilir; bonus verme kararı insana ait
K139,BONUS_TALEP,Ekstra Bonus + Cashback Sorgulama,"Ek bonus talep ediyor, cashback tutarını soruyor",KISMI,"30€ bonus 10x ile teklif edildi, ek bonus verilmedi",HAYIR,Özel bonus müzakeresi ve cashback hesaplama insan gerektirir
K140,BILGI_SORUSU,Çekim Süresi,200€ çekim için bekleme süresini soruyor,HAYIR,"Karşılama yapıldı, yanıt verilmedi",EVET,Bot standart çekim süresi bilgisi verebilir
K141,BONUS_SORUN,Eksik Kayıt Free Spin,Kayıt sırasında verilen 50 free spin nerede soruyor,KISMI,"Hesapta 20 free spin olduğu görüldü, 50 yerine 20 olduğu bildirildi",KISMI,Bot aktif bonus/free spin durumu sorgulayabilir
K142,BONUS_TALEP,Bonus Uygunluğu,Bonus hakkı olup olmadığını soruyor,KISMI,"Son bonusun yakın zamanda kullanıldığı, minimum 55€ yeni depozit gerektiği açıklandı",EVET,Bot bonus uygunluk koşullarını ve gerekli depozit miktarını açıklayabilir
K143,WITHDRAWAL_BEKLEYEN,Çekim Süresi Onayı,"219,25€ çekiminin 1 gün içinde işlenip işlenmeyeceğini soruyor",HAYIR,"Karşılama yapıldı, sonuç belirtilmedi",EVET,Bot standart çekim süresi bilgisi verebilir
K144,BONUS_SORUN,E-posta ile Vaat Edilen 100€ Bonus,"100€ bonus içeren e-posta aldı, hesabına yansımadı",KISMI,"Hesap inceleniyor, VIP ekibine de yönlendirme önerildi",KISMI,E-posta doğrulaması bot yapabilir; kredilendirme insan gerektirir
K145,TEKNIK,Oyun Bahis Butonu Çalışmıyor,Buffalo Blitz Live Spain'de bahis butonu çalışmıyor,EVET,"Cache/cookie temizleme önerildi, sorun çözüldü",KISMI,Bot temel teknik adımları önerebilir; kalıcı sorun için insan gerekir
K146,BONUS_TALEP,Yüksek Depozit Sonrası Bonus,3000€+ depozit yaptıktan sonra ödül/bonus talep ediyor,HAYIR,"Hesap inceleniyor, sonuç belirtilmedi",KISMI,Uygunluk kontrolü bot yapabilir; özel bonus kararı insana ait
K147,BONUS_TALEP,Cashback + Bonus Uygunluğu,Yeni depozit sonrası bonus ve ertesi günkü cashback hakkı soruyor,KISMI,"Son bonustan bu yana yeterli depozit olmadığı açıklandı, inceleme devam ediyor",KISMI,Bot cashback ve bonus uygunluk koşullarını açıklayabilir
K148,HESAP,Hesap Kapatma (Bağımlılık),Kumar bağımlılığı nedeniyle hesabını kapatmak istiyor,HAYIR,"Karşılama yapıldı, sonuç belirtilmedi",KISMI,Bot sorumlu oyun politikasını açıklayabilir; hesap kapatma insan onayı gerektirir
K149,HESAP,Hesap Kalıcı Kapatma,Para kaybettiği için hesabını kalıcı olarak kapatmak istiyor,HAYIR,"Karşılama yapıldı, sonuç belirtilmedi",KISMI,Bot sorumlu oyun politikasını açıklayabilir; hesap kapatma insan onayı gerektirir
K150,BONUS_SORUN,Hoşgeldin Bonusu Free Spin Tamamlama,Daha önce verilen hoşgeldin bonusuna ek 50 free spin talep ediyor,KISMI,Hesap inceleniyor,KISMI,Bot bonus geçmişini sorgulayabilir; kredilendirme insan gerektirir
K151,BONUS_TALEP,Depozit Sonrası Bonus,Depozitlerine karşılık bonus talep ediyor,HAYIR,"Hesap inceleniyor, sonuç belirtilmedi",KISMI,Uygunluk kontrolü bot yapabilir; bonus verme kararı insana ait
K152,BONUS_TALEP,Depozit Öncesi Bonus,Depozit yapmadan önce bonus talep ediyor,KISMI,30€ bonus 20x wagering ile verildi,KISMI,Uygunluk kontrolü bot yapabilir; bonus verme kararı insana ait
K153,BONUS_TALEP,Bonus Uygunluk Sorgusu,Bonus hakkı olup olmadığını soruyor,HAYIR,"Karşılama yapıldı, yanıt verilmedi",KISMI,Uygunluk kontrolü bot yapabilir; bonus verme kararı insana ait
K154,BONUS_SORUN,Doğum Günü Bonusu Talebi,E-posta ile bildirilen 150€ doğum günü bonusunu talep ediyor,EVET,150€ bonus 10x wagering ile kredilendi,KISMI,E-posta doğrulaması bot yapabilir; kredilendirme insan gerektirir
K155,HESAP,Hesap Açma,Kapalı hesabının açılmasını istiyor,EVET,"Hesap açıldı, sorumluluk beyanı alındı",KISMI,Bot sorumluluk beyanı alabilir; hesap açma insan onayı gerektirir
K156,WITHDRAWAL_BEKLEYEN,Tatil Günü Çekim İşlemi,Çekiminin o gün veya ertesi gün (tatil) işlenip işlenmeyeceğini soruyor,EVET,Tatil günü gecikmesi olabileceği açıklandı,EVET,Bot tatil günü çekim politikasını açıklayabilir
K157,BONUS_TALEP,Depozit Öncesi Bonus,Depozit yapmadan önce bonus talep ediyor,HAYIR,"Karşılama yapıldı, yanıt verilmedi",KISMI,Uygunluk kontrolü bot yapabilir; bonus verme kararı insana ait
K158,BONUS_TALEP,Depozitsiz Bonus Koşulları,Depozitsiz bonus almak için ne yapması gerektiğini soruyor,EVET,Bonus aktivitesi koşulları açıklandı,EVET,Bot depozitsiz bonus uygunluk koşullarını açıklayabilir
K159,BONUS_TALEP,Genel Bonus Talebi,Bonus talep ediyor,HAYIR,"Karşılama yapıldı, yanıt verilmedi",KISMI,Uygunluk kontrolü bot yapabilir; bonus verme kararı insana ait
K160,BONUS_TALEP,Reddedilen Bonus Talebi,"Bonus talep etti, reddedildi",HAYIR,Özür dilendi,KISMI,Bot uygunluk kontrolü yapabilir ve ret sebebini açıklayabilir
K161,BONUS_TALEP,Genel Bonus Talebi,Bonus talep ediyor,HAYIR,Bonus uygun olmadığı söylendi,EVET,Bot uygunluk kontrolü ve minimum depozit koşulunu açıklayabilir
K162,BILGI_SORUSU,Cashlib Depozit + Çekim Süresi,Cashlib ile para yatırılıp yatırılamayacağını ve çekim süresini soruyor,EVET,24 iş saati içinde işleneceği açıklandı,EVET,Bot ödeme yöntemleri ve çekim süresi bilgisi verebilir
K163,BONUS_TALEP,Depozitsiz Bonus Uygunluğu,Depozitsiz bonus hakkı olup olmadığını soruyor,HAYIR,"Hesap incelendi, bonus uygun değil",EVET,Bot uygunluk kontrolü ve koşulları açıklayabilir
K164,TEKNIK,Hacksaw Gaming Oyun Açılmıyor,Hacksaw Gaming oyunları mobilde açılmıyor,KISMI,"Adımlar önerildi, teknik ekibe iletildi",KISMI,Bot temel teknik adımları önerebilir; kalıcı sorun için insan gerekir
K165,BONUS_TALEP,Kayıp Sonrası Bonus,Kayıplarından dolayı bonus talep ediyor,HAYIR,Yeni aktivite sonrası tekrar kontrol edilebileceği söylendi,KISMI,Bot uygunluk koşullarını açıklayabilir; bonus verme kararı insana ait
K166,BONUS_TALEP,Yüksek Depozit Sonrası Depozitsiz Bonus,150-200€ depozit yapmasına rağmen depozitsiz bonus talep ediyor,HAYIR,"Karşılama yapıldı, yanıt verilmedi",KISMI,Uygunluk kontrolü bot yapabilir; bonus verme kararı insana ait
K167,CASHBACK,Cashback Tutarı ve Saati,Cashback'i ne zaman ve ne kadar alacağını soruyor,KISMI,E-posta ile bilgilendirme yapılacağı söylendi,KISMI,Bot cashback zamanlaması hakkında genel bilgi verebilir
